127.0.0.1 - - [04/Mar/2015:18:04:32 +0800] "GET / HTTP/1.1" 404 951
192.168.232.187 - - [04/Mar/2015:18:05:22 +0800] "GET /yazuo_erp/index.jsp HTTP/1.0" 302 -
192.168.232.187 - - [04/Mar/2015:18:05:22 +0800] "GET /yazuo_erp/login.jsp HTTP/1.0" 200 17699
192.168.234.48 - - [04/Mar/2015:18:15:22 +0800] "GET /yazuo_erp HTTP/1.1" 302 -
127.0.0.1 - - [04/Mar/2015:18:16:15 +0800] "GET / HTTP/1.1" 404 951
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/ HTTP/1.1" 302 -
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/login.jsp HTTP/1.1" 200 17727
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/base.css HTTP/1.1" 200 4214
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/third/json2.js HTTP/1.1" 200 17569
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/third/store.js HTTP/1.1" 200 6929
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/login.css HTTP/1.1" 200 4071
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/third/jquery-1.11.1.js HTTP/1.1" 200 282766
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/image/login/logo.png HTTP/1.1" 200 2569
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/image/login/login-bg.jpg HTTP/1.1" 200 27416
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/image/login/icon-yazuo-logo.png HTTP/1.1" 200 1898
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/image/login/icon-text-1.png HTTP/1.1" 200 2024
192.168.234.48 - - [04/Mar/2015:18:16:15 +0800] "GET /yazuo_erp/portal/origin/asset/image/login/icon-text-2.png HTTP/1.1" 200 2094
192.168.234.48 - - [04/Mar/2015:18:16:36 +0800] "POST /yazuo_erp/login/verifyMac.do?tel=15000000000 HTTP/1.1" 200 797
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "POST /yazuo_erp/login/loginSubmit.do HTTP/1.1" 200 57
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/base.css?v=9.0 HTTP/1.1" 200 4214
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/common.css?v=9.0 HTTP/1.1" 200 14032
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/index.css?v=9.0 HTTP/1.1" 200 2992
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/third/underscore/underscore.string.js?v=9.0 HTTP/1.1" 200 18785
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/third/underscore/underscore.js?v=9.0 HTTP/1.1" 200 45489
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/third/jquery-1.11.1.js?v=9.0 HTTP/1.1" 200 282766
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/avalon-ext.js?v=9.0 HTTP/1.1" 200 1602
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/boot.js?v=9.0 HTTP/1.1" 200 5933
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/third/avalon/avalon.js?v=9.0 HTTP/1.1" 200 191263
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/widget/widget.css?v=9.0 HTTP/1.1" 200 1346
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/index.jsp HTTP/1.1" 200 207152
192.168.234.48 - - [04/Mar/2015:18:16:37 +0800] "GET /yazuo_erp/portal/origin/asset/index.js?v=9-0 HTTP/1.1" 200 8585
